control,correlation,ci_low,ci_high
OpPert bracket (real),0.5087310883465248,0.314047510425269,0.6663540018022721
shuffled commutator,-0.0014477569279328778,-0.15040340188821247,0.1741304421776554
additive Δ-norm,0.9387615919113159,0.8885441422462463,0.9680179953575134
